Year,Rank,"Pos
Rank",,Player,,,,,,,,
2016,17,8,2.5,"Smallwood, Wendell (PHI, RB, Age: 22)® (R17)",130.33,130.33,120,142,"120, 129, 142 (3)","Apr: 209.00, May: 176.14, Jun: 138.17, Jul: 139.67, Aug: 130.33, Sep: 170.50, Oct: 131.50, Nov: 169.75 ( 38 )",,
2016,18,9,2.6,"Howard, Jordan (CHI, RB, Age: 22)® (R18)",133,133,121,149,"121, 129, 149 (3)","Feb: 155.22, Mar: 148.50, Apr: 144.83, May: 128.14, Jun: 125.33, Jul: 132.67, Aug: 133.00, Sep: 141.33, Oct: 87.17, Nov: 62.25 ( 25 )",,
2016,19,10,2.7,"Ferguson, Josh (IND, RB)® (R19)",133,133,113,167,"113, 119, 167 (3)","Feb: 180.83, Mar: 222.00, Apr: 208.00, May: 202.43, Jun: 170.83, Jul: 182.67, Aug: 133.00, Sep: 209.17, Oct: 182.17, Nov: 227.00 ( 45 )",,
2016,20,11,2.8,"Williams, Jonathan (BUF, RB, Age: 22)® (R20)",138.5,138.5,125,152,"125, 152 (2)","Feb: 185.75, Mar: 169.00, Apr: 148.40, May: 162.86, Jun: 154.67, Jul: 167.17, Aug: 138.50, Sep: 161.17, Oct: 168.33, Nov: 195.75 ( 27 )",,
2016,21,10,2.9,"Sharpe, Tajae (TEN, WR, Age: 21)® (R21)",144.33,144.33,124,158,"124, 151, 158 (3)","Feb: 148.11, Mar: 143.00, Apr: 159.00, May: 177.33, Jun: 135.83, Jul: 140.33, Aug: 144.33, Sep: 79.67, Oct: 72.67, Nov: 126.50 ( 54 )",,
2016,22,11,2.1,"Miller, Braxton (HOU, WR, Age: 23)® (R22)",153.5,153.5,145,162,"145, 162 (2)","Feb: 112.11, Mar: 114.67, Apr: 120.67, May: 126.00, Jun: 138.33, Jul: 162.33, Aug: 153.50, Sep: 133.00, Oct: 154.50, Nov: 191.00 ( 37 )",,
2016,23,1,2.11,"Henry, Hunter (SDC, TE, Age: 21)® (R23)",157.33,157.33,152,167,"152, 153, 167 (3)","Feb: 163.78, Mar: 159.00, Apr: 184.83, May: 138.57, Jun: 140.00, Jul: 136.33, Aug: 157.33, Sep: 153.33, Oct: 112.67, Nov: 77.50 ( 35 )",,
2016,24,12,2.12,"Cooper, Pharoh (RAM, WR, Age: 21)® (R24)",157.33,157.33,132,170,"132, 170, 170 (3)","Feb: 98.00, Mar: 111.00, Apr: 137.00, May: 132.57, Jun: 131.17, Jul: 168.50, Aug: 157.33, Sep: 182.00, Oct: 193.83, Nov: 212.25 ( 18 )",,
2016,25,12,3.1,"Drake, Kenyan (MIA, RB)® (R25)",159.5,159.5,154,165,"154, 165 (2)","Feb: 178.67, Mar: 167.00, Apr: 189.00, May: 146.29, Jun: 137.83, Jul: 144.67, Aug: 159.50, Sep: 172.50, Oct: 154.67, Nov: 160.25",,
2016,26,13,3.2,"Collins, Alex (SEA, RB, Age: 22)® (R26)",160,160,160,160,160 (1),"Feb: 105.67, Mar: 119.00, Apr: 132.33, May: 166.43, Jun: 170.33, Jul: 192.83, Aug: 160.00, Sep: 215.67, Oct: 208.00, Nov: 218.00",,
2016,27,14,3.3,"Marshall, Keith (WAS, RB, Age: 22)® (R27)",161,161,134,188,"134, 188 (2)","Feb: 200.40, Mar: 163.00, Apr: 157.50, May: 165.00, Jun: 140.83, Jul: 163.83, Aug: 161.00, Sep: 232.00, Oct: 201.00, Nov: 158.00 ( 43 )",,
2016,28,2,3.4,"Hooper, Austin (ATL, TE)® (R28)",163.5,163.5,156,171,"156, 171 (2)","Feb: 205.33, Mar: 210.00, Apr: 200.00, May: 176.71, Jun: 158.67, Jul: 166.17, Aug: 163.50, Sep: 174.50, Oct: 164.17, Nov: 127.75 ( 36 )",,
2016,29,1,3.5,"Wentz, Carson (PHI, QB, Age: 23)® (R29)",168.5,168.5,147,190,"147, 190 (2)","Feb: 181.67, Mar: 200.50, Apr: 174.80, May: 178.29, Jun: 171.50, Jul: 164.67, Aug: 168.50, Sep: 175.83, Oct: 122.33, Nov: 147.75 ( 25 )",,
2016,30,15,3.6,"Ervin, Tyler (HOU, RB, Age: 23)® (R30)",179,179,176,182,"176, 182 (2)","Feb: 228.00, Mar: 188.00, Apr: 210.67, May: 186.83, Jun: 158.00, Jul: 175.00, Aug: 179.00, Sep: 173.33, Oct: 177.20, Nov: 217.50 ( 40 )",,
2016,31,2,3.7,"Goff, Jared (RAM, QB, Age: 22)® (R31)",180,180,168,192,"168, 192 (2)","Feb: 190.89, Mar: 187.00, Apr: 194.60, May: 169.71, Jun: 159.67, Jul: 166.83, Aug: 180.00, Sep: 187.33, Oct: 179.83, Nov: 192.50 ( 13 )",,
2016,32,16,3.8,"Taylor, Kelvin (SFO, RB, Age: 23)® (R32)",182,182,182,182,182 (1),"Feb: 228.00, Apr: 237.00, May: 234.00, Jun: 170.00, Jul: 206.20, Aug: 182.00",,
