Year,Rank,"Pos
Rank",Draft_Rank,Player,Round,Pick,Tm,Draft Year,Pos,Age,To,All_Pro,Pro_Bowl,Starter_years,Games_Played,Passing_Comp,Pass_att,Pass_yards,Pass_TD,Pass_Int,Rush_att,Rush_yards,Rush_TD,Rec_rec,Rec_yards,Rec_TD,College/Univ,Total Fantasy Points,Fantasy Points Per Game
2015,41,17,4.05,Karlos Williams,5.0,155.0,BUF,2015.0,RB,22.0,2015.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,93.0,517.0,7.0,11.0,96.0,2.0,Florida St.,120.80000000000001,10.981818181818182
2015,42,18,4.06,Zach Zenner,,,,,,,,,,,,,,,,,,,,,,,,,
2015,43,20,4.07,Rashad Greene,5.0,139.0,JAX,2015.0,WR,22.0,2018.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,185.0,2.0,Florida St.,45.5,1.82
2015,44,21,4.08,Darren Waller,6.0,204.0,BAL,2015.0,WR,22.0,2023.0,0.0,1.0,3.0,86.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,0.0,350.0,4124.0,20.0,Georgia Tech,710.0,8.255813953488373
2015,45,19,4.09,Thomas Rawls,,,,,,,,,,,,,,,,,,,,,,,,,
2015,46,22,4.1,Ty Montgomery,3.0,94.0,GNB,2015.0,WR,22.0,2023.0,0.0,0.0,1.0,92.0,0.0,0.0,0.0,0.0,0.0,263.0,1187.0,7.0,147.0,1159.0,4.0,Stanford,374.1,4.066304347826088
2015,47,23,4.11,Jamison Crowder,4.0,105.0,WAS,2015.0,WR,22.0,2023.0,0.0,0.0,4.0,117.0,1.0,2.0,43.0,1.0,0.0,17.0,82.0,0.0,431.0,4826.0,29.0,Duke,890.6,7.6119658119658125
2015,48,24,4.12,Vince Mayle,4.0,123.0,CLE,2015.0,WR,24.0,2017.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,Washington St.,6.2,0.26956521739130435
2016,1,1,1.01,Ezekiel Elliott,1.0,4.0,DAL,2016.0,RB,21.0,2023.0,1.0,3.0,7.0,120.0,1.0,1.0,4.0,0.0,0.0,2065.0,8904.0,71.0,356.0,2649.0,14.0,Ohio St.,1843.7000000000003,15.36416666666667
2016,2,1,1.02,Laquon Treadwell,1.0,23.0,MIN,2016.0,WR,21.0,2023.0,0.0,0.0,2.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,1242.0,5.0,Mississippi,209.7,2.5888888888888886
2016,3,2,1.03,Corey Coleman,1.0,15.0,CLE,2016.0,WR,22.0,2018.0,0.0,0.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,0.0,61.0,789.0,5.0,Baylor,140.9,5.218518518518518
2016,4,3,1.04,Josh Doctson,1.0,22.0,WAS,2016.0,WR,23.0,2019.0,0.0,0.0,2.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,-14.0,0.0,81.0,1100.0,8.0,TCU,197.1,5.797058823529412
2016,5,4,1.05,Sterling Shepard,2.0,40.0,NYG,2016.0,WR,23.0,2023.0,0.0,0.0,5.0,90.0,0.0,0.0,0.0,0.0,0.0,24.0,186.0,1.0,372.0,4095.0,23.0,Oklahoma,758.1,8.423333333333334
2016,6,5,1.06,Michael Thomas,2.0,47.0,NOR,2016.0,WR,23.0,2023.0,2.0,3.0,4.0,83.0,0.0,0.0,0.0,0.0,0.0,2.0,-8.0,0.0,565.0,6569.0,36.0,Ohio St.,1154.6000000000001,13.910843373493977
2016,7,2,1.07,Derrick Henry,2.0,45.0,TEN,2016.0,RB,22.0,2023.0,1.0,4.0,4.0,119.0,7.0,9.0,37.0,4.0,0.0,2030.0,9502.0,90.0,155.0,1458.0,3.0,Alabama,1759.2,14.783193277310925
2016,8,6,1.08,Will Fuller,1.0,21.0,HOU,2016.0,WR,22.0,2021.0,0.0,0.0,5.0,55.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,213.0,3136.0,24.0,Notre Dame,564.7,10.267272727272728
2016,9,7,1.09,Leonte Carroo,3.0,86.0,MIA,2016.0,WR,22.0,2018.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,12.0,192.0,2.0,Rutgers,38.6,1.0432432432432432
2016,10,8,1.1,Tyler Boyd,2.0,55.0,CIN,2016.0,WR,21.0,2023.0,0.0,0.0,3.0,120.0,3.0,6.0,85.0,0.0,1.0,19.0,166.0,0.0,513.0,6000.0,31.0,Pittsburgh,1065.6,8.879999999999999
2016,11,3,1.11,CJ Prosise,3.0,90.0,SEA,2016.0,RB,22.0,2020.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,75.0,283.0,2.0,41.0,411.0,1.0,Notre Dame,107.9,3.082857142857143
2016,12,4,1.12,Kenneth Dixon,4.0,134.0,BAL,2016.0,RB,22.0,2018.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,148.0,715.0,4.0,36.0,213.0,1.0,Louisiana Tech,140.8,7.822222222222223
2016,13,5,2.01,Devontae Booker,4.0,136.0,DEN,2016.0,RB,24.0,2021.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,527.0,2119.0,11.0,162.0,1224.0,2.0,Utah,493.29999999999995,5.304301075268817
2016,14,6,2.02,DeAndre Washington,5.0,143.0,OAK,2016.0,RB,23.0,2020.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,313.0,1213.0,7.0,93.0,643.0,1.0,Texas Tech,280.1,4.747457627118645
2016,15,7,2.03,Paul Perkins,5.0,149.0,NYG,2016.0,RB,21.0,2019.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,165.0,575.0,0.0,24.0,217.0,0.0,UCLA,91.2,3.1448275862068966
