Year,Rank,"Pos
Rank",Draft_Rank,Player,Round,Pick,Tm,Draft Year,Pos,Age,To,All_Pro,Pro_Bowl,Starter_years,Games_Played,Passing_Comp,Pass_att,Pass_yards,Pass_TD,Pass_Int,Rush_att,Rush_yards,Rush_TD,Rec_rec,Rec_yards,Rec_TD,College/Univ,Total Fantasy Points,Fantasy Points Per Game,Draft_Round
2019,39,3,4.03,Daniel Jones,1.0,6.0,NYG,2019.0,QB,22.0,2023.0,0.0,0.0,4.0,60.0,1221.0,1900.0,12512.0,62.0,40.0,332.0,1914.0,13.0,1.0,16.0,0.0,Duke,1814.7,30.245,4
2017,37,4,4.01,Mitchell Trubisky,1.0,2.0,CHI,2017.0,QB,23.0,2023.0,0.0,1.0,4.0,69.0,1200.0,1872.0,12536.0,72.0,48.0,238.0,1173.0,13.0,0.0,0.0,0.0,North Carolina,1784.9,25.868115942028982,4
2017,41,17,4.05,Aaron Jones,5.0,182.0,GNB,2017.0,RB,22.0,2023.0,0.0,1.0,5.0,97.0,0.0,0.0,0.0,0.0,0.0,1177.0,5940.0,45.0,272.0,2076.0,18.0,Texas-El Paso,1315.6,13.562886597938144,4
2017,48,8,4.12,George Kittle,5.0,146.0,SFO,2017.0,TE,23.0,2023.0,2.0,5.0,5.0,98.0,0.0,0.0,0.0,0.0,0.0,12.0,71.0,0.0,460.0,6274.0,37.0,Iowa,1086.5,11.08673469387755,4
2018,46,5,4.1,Mark Andrews,3.0,86.0,BAL,2018.0,TE,23.0,2023.0,1.0,3.0,1.0,87.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,381.0,4857.0,40.0,Oklahoma,917.0,10.540229885057473,4
2015,47,23,4.11,Jamison Crowder,4.0,105.0,WAS,2015.0,WR,22.0,2023.0,0.0,0.0,4.0,117.0,1.0,2.0,43.0,1.0,0.0,17.0,82.0,0.0,431.0,4826.0,29.0,Duke,890.6,7.611965811965812,4
2015,44,21,4.08,Darren Waller,6.0,204.0,BAL,2015.0,WR,22.0,2023.0,0.0,1.0,3.0,86.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,0.0,350.0,4124.0,20.0,Georgia Tech,710.0,8.255813953488373,4
2020,41,4,4.05,Jordan Love,1.0,26.0,GNB,2020.0,QB,21.0,2023.0,0.0,0.0,0.0,27.0,422.0,662.0,4765.0,35.0,14.0,63.0,273.0,4.0,0.0,0.0,0.0,Utah St.,709.8,26.288888888888888,4
2019,50,21,5.02,Darius Slayton,5.0,171.0,NYG,2019.0,WR,22.0,2023.0,0.0,0.0,3.0,76.0,0.0,0.0,0.0,0.0,0.0,3.0,-14.0,0.0,220.0,3324.0,19.0,Auburn,555.0,7.302631578947368,5
2017,50,20,5.02,Tarik Cohen,4.0,119.0,CHI,2017.0,RB,22.0,2020.0,1.0,1.0,2.0,51.0,2.0,3.0,22.0,2.0,0.0,264.0,1101.0,5.0,209.0,1575.0,9.0,North Carolina A&T,470.3,9.22156862745098,5
2017,49,18,5.01,Dede Westbrook,4.0,110.0,JAX,2017.0,WR,23.0,2021.0,0.0,0.0,1.0,55.0,0.0,1.0,0.0,0.0,0.0,14.0,125.0,0.0,170.0,1788.0,9.0,Oklahoma,330.3,6.005454545454546,5
2018,50,21,5.02,Braxton Berrios,6.0,210.0,NWE,2018.0,WR,22.0,2023.0,1.0,0.0,0.0,81.0,1.0,1.0,2.0,1.0,0.0,20.0,171.0,4.0,134.0,1323.0,6.0,Miami (FL),282.6,3.4888888888888894,5
2019,51,22,5.03,Ty Johnson,6.0,186.0,DET,2019.0,RB,21.0,2023.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,238.0,1057.0,4.0,93.0,730.0,4.0,Maryland,273.2,3.794444444444444,5
2018,51,6,5.03,Ian Thomas,4.0,101.0,CAR,2018.0,TE,22.0,2023.0,0.0,0.0,2.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,1055.0,4.0,Indiana,187.5,1.9946808510638296,5
2022,55,7,5.07,Chigoziem Okonkwo,4.0,143.0,TEN,2022.0,TE,22.0,2023.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,86.0,978.0,4.0,Maryland,165.60000000000002,4.870588235294118,5
2022,51,6,5.03,Cade Otton,4.0,106.0,TAM,2022.0,TE,23.0,2023.0,0.0,0.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,846.0,6.0,Washington,165.10000000000002,5.003030303030304,5
2022,52,20,5.04,Ty Chandler,5.0,169.0,MIN,2022.0,RB,24.0,2023.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,108.0,481.0,3.0,21.0,159.0,0.0,North Carolina,92.5,4.625,5
2019,52,6,5.04,Josh Oliver,3.0,69.0,JAX,2019.0,TE,22.0,2023.0,0.0,0.0,1.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,443.0,4.0,San Jose St.,92.3,1.775,5
