Draft_Rank,Total Fantasy Points,Predicted Fantasy Points
1.1,395.5,588.5894563345809
1.11,2438.2,587.6475135889924
1.12,43.0,586.705570843404
2.01,890.8000000000001,502.8726664860302
2.02,489.3,501.93072374044164
2.03,691.9000000000001,500.9887809948532
2.04,191.3,500.04683824926474
2.05,759.4,499.1048955036763
2.06,80.2,498.1629527580878
2.07,425.0,497.22101001249933
2.08,460.8,496.27906726691083
2.09,110.8,495.3371245213224
2.1,874.4000000000001,494.39518177573393
2.11,0.0,493.4532390301455
2.12,59.3,492.511296284557
3.01,211.8,408.6783919271832
3.02,795.2,407.7364491815947
3.03,60.3,406.79450643600626
3.05,1.9,404.91062094482936
3.06,750.0,403.96867819924086
3.07,345.1,403.0267354536524
3.09,55.3,401.14284996247545
3.1,525.2,400.20090721688695
3.11,23.4,399.2589644712985
4.01,415.4,314.4841173683363
4.03,1814.7,312.60023187715933
4.07,50.2,308.8324608948054
4.09,52.6,306.9485754036285
4.1,0.9,306.0066326580401
5.02,555.0,219.3479000639009
5.03,273.2,218.40595731831235
5.04,92.3,217.4640145727239
5.05,12.0,216.52207182713545
5.06,15.8,215.580129081547
5.07,45.6,214.6381863359585
5.08,5.0,213.69624359037005
5.11,17.0,210.87041535360459
1.01,419.5,597.0669410448771
1.02,879.2,596.1249982992886
1.03,243.9,595.1830555537001
1.04,697.6,594.2411128081117
1.05,281.1,593.2991700625232
1.06,953.8,592.3572273169348
1.07,481.1,591.4152845713463
1.08,167.2,590.4733418257578
1.09,981.6,589.5313990801693
1.11,701.3,587.6475135889924
1.12,71.5,586.705570843404
2.01,643.7,502.8726664860302
2.03,88.60000000000001,500.9887809948532
2.04,470.1,500.04683824926474
2.05,405.4,499.1048955036763
2.07,652.6,497.22101001249933
2.08,125.9,496.27906726691083
2.09,2036.8,495.3371245213224
2.01,1750.0,502.8726664860302
2.12,426.8,492.511296284557
3.01,54.6,408.6783919271832
3.02,207.7,407.7364491815947
3.04,278.8,405.8525636904178
3.05,107.3,404.91062094482936
3.06,3.0,403.96867819924086
3.07,167.5,403.0267354536524
3.08,194.7,402.0847927080639
3.09,12.4,401.14284996247545
3.11,144.9,399.2589644712985
3.12,99.3,398.31702172571005
4.01,100.1,314.4841173683363
4.02,96.7,313.54217462274784
4.03,408.1,312.60023187715933
4.04,2480.9,311.6582891315708
4.05,709.8,310.7163463859824
4.06,298.7,309.7744036403939
1.01,653.9,597.0669410448771
1.02,681.3000000000001,596.1249982992886
1.03,315.0,595.1830555537001
1.04,441.0,594.2411128081117
1.05,375.1,593.2991700625232
1.06,47.5,592.3572273169348
1.07,292.70000000000005,591.4152845713463
1.08,551.8,590.4733418257578
1.09,292.9,589.5313990801693
1.1,582.1,588.5894563345809
1.11,189.0,587.6475135889924
1.12,1609.4,586.705570843404
2.02,236.5,501.93072374044164
2.03,133.2,500.9887809948532
2.04,1153.4,500.04683824926474
2.05,81.6,499.1048955036763
2.06,154.8,498.1629527580878
2.07,42.7,497.22101001249933
2.08,266.7,496.27906726691083
2.09,297.20000000000005,495.3371245213224
2.1,666.3,494.39518177573393
2.11,372.8,493.4532390301455
2.12,297.4,492.511296284557
3.01,364.1,408.6783919271832
3.02,455.2,407.7364491815947
3.03,34.1,406.79450643600626
3.04,803.8000000000001,405.8525636904178
3.05,1.3,404.91062094482936
